time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1737	1.31217	5.16115	0.193921	0.137315	radar	5.20171	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.397	1.39405	5.12081	0.214706	0.151285	lidar	1.44262	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6274	1.46553	4.94882	0.230801	0.160306	radar	3.54896	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8474	1.5048	4.91081	0.232835	0.154633	lidar	0.867881	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.116	1.55419	5.0215	0.235004	0.148769	radar	2.10487	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3957	1.6102	5.07745	0.238883	0.14505	lidar	1.93138	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.626	1.66239	5.0036	0.244246	0.143453	radar	0.631876	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8538	1.73149	4.98346	0.255385	0.147404	lidar	0.312832	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1135	1.81688	5.10897	0.268794	0.152871	radar	1.66606	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3553	1.85739	5.09115	0.266085	0.142758	lidar	0.388389	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6128	1.91987	5.18002	0.269585	0.138788	radar	0.720808	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8157	2.04735	5.13231	0.301909	0.163916	lidar	3.72806	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0868	2.1525	5.28346	0.317235	0.170213	radar	3.07724	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.294	2.28999	5.24206	0.349673	0.193983	lidar	3.18265	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4726	2.41245	4.99333	0.379642	0.215866	radar	11.8088	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7223	2.53743	5.03908	0.400164	0.225421	lidar	1.12847	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9432	2.64035	4.99915	0.414262	0.228551	radar	0.255968	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.173	2.79868	5.03697	0.446204	0.2488	lidar	1.33901	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4253	2.91036	5.17239	0.454342	0.243208	radar	1.16964	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6283	2.99593	5.10941	0.459276	0.236153	lidar	1.90943	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8632	3.14486	5.20453	0.481498	0.245689	radar	3.88027	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0758	3.33829	5.23297	0.521682	0.273298	lidar	1.94358	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2889	3.49188	5.14939	0.54684	0.286129	radar	3.09734	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5044	3.68601	5.19359	0.582309	0.307022	lidar	1.3011	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7156	3.81527	5.15567	0.593528	0.303299	radar	0.814202	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9348	3.97123	5.17465	0.611172	0.305731	lidar	0.146537	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1319	4.12023	5.05059	0.631254	0.312573	radar	1.74007	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3281	4.32221	5.09284	0.665299	0.330689	lidar	0.950219	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5398	4.48279	5.12839	0.679713	0.328228	radar	0.566669	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7147	4.65839	5.1115	0.70445	0.336401	lidar	0.67692	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8723	4.82416	4.88488	0.733364	0.352656	radar	4.06608	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0348	5.0564	4.93857	0.775999	0.377145	lidar	1.623	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2073	5.21316	4.89086	0.790471	0.373511	radar	1.28021	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3611	5.40551	4.89135	0.817826	0.381968	lidar	0.342851	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5199	5.55983	4.81249	0.831878	0.378135	radar	2.59477	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.702	5.70173	4.79039	0.834573	0.362364	lidar	0.780983	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8512	5.88086	4.71498	0.857476	0.368865	radar	0.758245	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0197	6.0873	4.76901	0.880256	0.373196	lidar	0.982385	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
